sensitive_attribute,group,tp,tn,fp,fn,tpr,tnr,fpr,fnr,pr,nr,accuracy
ethnicity,AMERICAN INDIAN/ALASKA NATIVE,1,0,0,0,1.0,,,0.0,1.0,0.0,1.0
ethnicity,ASIAN,0,1,0,0,,1.0,0.0,,0.0,1.0,1.0
ethnicity,ASIAN - SOUTH EAST ASIAN,2,0,0,0,1.0,,,0.0,1.0,0.0,1.0
ethnicity,BLACK/AFRICAN,0,1,0,0,,1.0,0.0,,0.0,1.0,1.0
ethnicity,BLACK/AFRICAN AMERICAN,11,7,0,0,1.0,1.0,0.0,0.0,0.6111111111111112,0.3888888888888889,1.0
ethnicity,BLACK/CARIBBEAN ISLAND,0,1,0,0,,1.0,0.0,,0.0,1.0,1.0
ethnicity,HISPANIC/LATINO - DOMINICAN,1,1,0,0,1.0,1.0,0.0,0.0,0.5,0.5,1.0
ethnicity,OTHER,1,0,0,0,1.0,,,0.0,1.0,0.0,1.0
ethnicity,UNABLE TO OBTAIN,0,2,0,0,,1.0,0.0,,0.0,1.0,1.0
ethnicity,UNKNOWN,2,5,0,0,1.0,1.0,0.0,0.0,0.2857142857142857,0.7142857142857143,1.0
ethnicity,WHITE,29,28,2,0,1.0,0.9333333333333333,0.06666666666666667,0.0,0.5254237288135594,0.4745762711864407,0.9661016949152542
ethnicity,WHITE - BRAZILIAN,1,0,0,0,1.0,,,0.0,1.0,0.0,1.0
ethnicity,WHITE - OTHER EUROPEAN,0,1,0,0,,1.0,0.0,,0.0,1.0,1.0
ethnicity,WHITE - RUSSIAN,0,1,0,0,,1.0,0.0,,0.0,1.0,1.0
gender,F,21,20,0,0,1.0,1.0,0.0,0.0,0.5121951219512195,0.4878048780487805,1.0
gender,M,27,28,2,0,1.0,0.9333333333333333,0.06666666666666667,0.0,0.5087719298245614,0.49122807017543857,0.9649122807017544
age_binned,20-30,0,1,0,0,,1.0,0.0,,0.0,1.0,1.0
age_binned,30-40,2,0,0,0,1.0,,,0.0,1.0,0.0,1.0
age_binned,40-50,9,1,2,0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.9166666666666666,0.08333333333333333,0.8333333333333334
age_binned,50-60,14,5,0,0,1.0,1.0,0.0,0.0,0.7368421052631579,0.2631578947368421,1.0
age_binned,60-70,11,19,0,0,1.0,1.0,0.0,0.0,0.36666666666666664,0.6333333333333333,1.0
age_binned,70-80,7,11,0,0,1.0,1.0,0.0,0.0,0.3888888888888889,0.6111111111111112,1.0
age_binned,80-90,5,11,0,0,1.0,1.0,0.0,0.0,0.3125,0.6875,1.0
